year,month,day,type,magnitude,umbral_magnitude,penumbral_magnitude,cat_num
-1950,4,27,T-,1.7608,1.7608,2.7494,116
-1950,10,21,T-,1.6883,1.6883,2.7076,117
-1949,4,17,P,0.4687,0.4687,1.5125,118
-1949,10,10,P,0.4838,0.4838,1.4589,119
-1948,3,6,N,0.4017,-0.6726,0.4017,120
-1948,4,5,N,0.1056,-0.9667,0.1056,121
-1948,8,30,N,0.5632,-0.4201,0.5632,122
-1948,9,29,N,0.2538,-0.7192,0.2538,123
-1947,2,23,P,0.772,0.772,1.8062,124
-1947,8,20,P,0.7902,0.7902,1.8242,125
-1946,2,13,T+,1.5452,1.5452,2.5281,126
-1946,8,9,T-,1.5279,1.5279,2.6051,127
-1945,2,2,P,0.2898,0.2898,1.2481,128
-1945,7,29,P,0.1906,0.1906,1.2673,129
-1945,12,24,N,0.7836,-0.2271,0.7836,130
-1944,6,18,N,0.8054,-0.1902,0.8054,131
-1944,12,13,P,0.9541,0.9541,2.0244,132
-1943,6,7,T,1.2849,1.2849,2.2347,133
-1943,12,2,T+,1.4173,1.4173,2.5233,134
-1942,5,28,T,1.1253,1.1253,2.0674,135
-1942,11,21,P,0.2023,0.2023,1.2917,136
-1941,4,18,N,0.2567,-0.7488,0.2567,137
-1941,5,18,N,0.6538,-0.3227,0.6538,138
-1941,10,11,N,0.4862,-0.516,0.4862,139
-1941,11,10,N,0.1185,-0.9162,0.1185,140
-1940,4,6,P,0.54,0.54,1.5973,141
-1940,9,30,P,0.7929,0.7929,1.7613,142
-1939,3,26,T-,1.7314,1.7314,2.8043,143
-1939,9,20,T+,1.7092,1.7092,2.6887,144
-1938,3,16,P,0.3815,0.3815,1.4221,145
-1938,9,9,P,0.3362,0.3362,1.363,146
-1937,2,4,N,0.7263,-0.2473,0.7263,147
-1937,3,5,N,0.1377,-0.8505,0.1377,148
-1937,7,31,N,0.4616,-0.6187,0.4616,149
-1936,1,24,T,1.0477,1.0477,2.0089,150
-1936,7,19,P,0.7418,0.7418,1.807,151
-1935,1,13,T-,1.4153,1.4153,2.409,152
-1935,7,8,T+,1.5135,1.5135,2.5257,153
-1934,1,2,P,0.0128,0.0128,1.0656,154
-1934,6,28,P,0.1964,0.1964,1.1565,155
-1934,11,23,N,0.4765,-0.6308,0.4765,156
-1933,5,19,P,0.2777,0.2777,1.2255,157
-1933,11,12,P,0.6656,0.6656,1.7413,158
-1932,5,8,T-,1.6167,1.6167,2.6083,159
-1932,10,31,T-,1.6892,1.6892,2.7067,160
-1931,4,27,P,0.6144,0.6144,1.6599,161
-1931,10,20,P,0.4918,0.4918,1.4673,162
-1930,3,17,N,0.285,-0.7846,0.285,163
-1930,4,16,N,0.2505,-0.8199,0.2505,164
-1930,9,11,N,0.5168,-0.4721,0.5168,165
-1930,10,10,N,0.2663,-0.71,0.2663,166
-1929,3,6,P,0.6812,0.6812,1.7088,167
-1929,8,31,P,0.7213,0.7213,1.7621,168
-1928,2,24,T+,1.6262,1.6262,2.6032,169
-1928,8,19,T-,1.6122,1.6122,2.6946,170
-1927,2,13,P,0.355,0.355,1.31,171
-1927,8,8,P,0.292,0.292,1.3706,172
-1926,1,4,N,0.756,-0.2553,0.756,173
-1926,2,2,N,0.0197,-0.958,0.0197,174
-1926,6,29,N,0.6858,-0.3083,0.6858,175
-1926,7,28,N,0.0912,-0.9392,0.0912,176
-1926,12,24,P,0.9351,0.9351,2.0062,177
-1925,6,19,T,1.1562,1.1562,2.1056,178
-1925,12,13,T+,1.4313,1.4313,2.5363,179
-1924,6,7,T,1.2587,1.2587,2.2028,180
-1924,12,1,P,0.2111,0.2111,1.2973,181
-1923,4,28,Ne,0.1078,-0.9001,0.1078,182
-1923,5,28,N,0.7897,-0.1904,0.7897,183
-1923,10,22,N,0.4864,-0.5148,0.4864,184
-1923,11,20,N,0.1227,-0.9088,0.1227,185
-1922,4,18,P,0.3866,0.3866,1.4445,186
-1922,10,11,P,0.7786,0.7786,1.7484,187
-1921,4,7,T+,1.7681,1.7681,2.8377,188
-1921,10,1,T+,1.73,1.73,2.714,189
-1920,3,26,P,0.5112,0.5112,1.5457,190
-1920,9,20,P,0.3668,0.3668,1.3999,191
-1919,2,14,N,0.6637,-0.3046,0.6637,192
-1919,3,15,N,0.2415,-0.7407,0.2415,193
-1919,8,10,N,0.3631,-0.7216,0.3631,194
-1919,9,9,N,0.0306,-1.0512,0.0306,195
-1918,2,4,P,0.9942,0.9942,1.953,196
-1918,7,30,P,0.632,0.632,1.6982,197
-1917,1,24,T-,1.4557,1.4557,2.4493,198
-1917,7,19,T+,1.6283,1.6283,2.6396,199
-1916,1,14,P,0.0407,0.0407,1.0938,200
-1916,7,8,P,0.3159,0.3159,1.2758,201
-1916,12,3,N,0.4698,-0.6361,0.4698,202
-1915,5,29,P,0.1374,0.1374,1.0875,203
-1915,11,22,P,0.6698,0.6698,1.7425,204
-1914,5,19,T-,1.469,1.469,2.4641,205
-1914,11,11,T-,1.6887,1.6887,2.7036,206
-1913,5,8,P,0.7649,0.7649,1.8126,207
-1913,11,1,P,0.4944,0.4944,1.4698,208
-1912,3,28,N,0.1585,-0.9065,0.1585,209
-1912,4,26,N,0.4031,-0.6657,0.4031,210
-1912,9,21,N,0.4824,-0.5119,0.4824,211
-1912,10,20,N,0.2699,-0.7095,0.2699,212
-1911,3,17,P,0.5783,0.5783,1.5994,213
-1911,9,10,P,0.6666,0.6666,1.7139,214
-1910,3,6,T+,1.722,1.722,2.6934,215
-1910,8,31,T-,1.6804,1.6804,2.7679,216
-1909,2,24,P,0.4319,0.4319,1.3839,217
-1909,8,20,P,0.3796,0.3796,1.4601,218
-1908,1,15,N,0.7189,-0.2926,0.7189,219
-1908,2,14,N,0.0728,-0.9042,0.0728,220
-1908,7,9,N,0.5753,-0.4176,0.5753,221
-1908,8,8,N,0.1897,-0.8405,0.1897,222
-1907,1,3,P,0.9082,0.9082,1.9793,223
-1907,6,29,T,1.0318,1.0318,1.9814,224
-1907,12,23,T+,1.4519,1.4519,2.5549,225
-1906,6,19,T-,1.3876,1.3876,2.3343,226
-1906,12,12,P,0.2263,0.2263,1.3086,227
-1905,6,8,N,0.922,-0.0625,0.922,228
-1905,11,2,N,0.4904,-0.5092,0.4904,229
-1905,12,2,N,0.1288,-0.8989,0.1288,230
-1904,4,28,P,0.2287,0.2287,1.2874,231
-1904,10,22,P,0.7702,0.7702,1.7412,232
-1903,4,17,T+,1.6165,1.6165,2.6832,233
-1903,10,11,T+,1.7426,1.7426,2.7307,234
-1902,4,6,P,0.6528,0.6528,1.6817,235
-1902,10,1,P,0.3856,0.3856,1.4245,236
-1901,2,25,N,0.5861,-0.3772,0.5861,237
-1901,3,27,N,0.3575,-0.6192,0.3575,238
-1901,8,21,N,0.2798,-0.8091,0.2798,239
-1901,9,20,N,0.0728,-1.0141,0.0728,240
-1900,2,15,P,0.927,0.927,1.8834,241
-1900,8,9,P,0.5365,0.5365,1.6037,242
-1899,2,4,T-,1.5102,1.5102,2.5035,243
-1899,7,30,T+,1.7319,1.7319,2.7428,244
-1898,1,24,P,0.0817,0.0817,1.1347,245
-1898,7,19,P,0.4256,0.4256,1.386,246
-1898,12,14,N,0.4581,-0.6456,0.4581,247
-1897,6,10,N,0.953,-0.0001,0.953,248
-1897,7,9,N,0.1081,-0.8387,0.1081,249
-1897,12,3,P,0.6737,0.6737,1.7427,250
-1896,5,29,T,1.3205,1.3205,2.3196,251
-1896,11,22,T-,1.6864,1.6864,2.6984,252
-1895,5,18,P,0.9188,0.9188,1.969,253
-1895,11,11,P,0.4935,0.4935,1.4684,254
-1894,4,8,Ne,0.0246,-1.0362,0.0246,255
-1894,5,7,N,0.5607,-0.507,0.5607,256
-1894,10,2,N,0.4582,-0.5412,0.4582,257
-1894,11,1,N,0.2682,-0.7138,0.2682,258
-1893,3,28,P,0.4677,0.4677,1.4827,259
-1893,9,22,P,0.6228,0.6228,1.6763,260
-1892,3,17,T+,1.8262,1.8262,2.7925,261
-1892,9,10,T-,1.7359,1.7359,2.8281,262
-1891,3,6,P,0.5224,0.5224,1.4715,263
-1891,8,30,P,0.4526,0.4526,1.535,264
-1890,1,25,N,0.6673,-0.3443,0.6673,265
-1890,2,24,N,0.1409,-0.8356,0.1409,266
-1890,7,21,N,0.4779,-0.5145,0.4779,267
-1890,8,19,N,0.273,-0.7572,0.273,268
-1889,1,15,P,0.8665,0.8665,1.9374,269
-1889,7,10,P,0.9183,0.9183,1.8687,270
-1888,1,4,T+,1.4832,1.4832,2.5837,271
-1888,6,29,T-,1.5108,1.5108,2.4607,272
-1888,12,23,P,0.2472,0.2472,1.325,273
-1887,6,18,P,0.0632,0.0632,1.0527,274
-1887,11,13,N,0.4974,-0.5001,0.4974,275
-1887,12,12,N,0.1382,-0.8851,0.1382,276
-1886,5,9,P,0.0641,0.0641,1.1241,277
-1886,11,2,P,0.7684,0.7684,1.7401,278
-1885,4,28,T+,1.4594,1.4594,2.5233,279
-1885,10,23,T+,1.7483,1.7483,2.7402,280
-1884,4,16,P,0.7988,0.7988,1.8224,281
-1884,10,11,P,0.3956,0.3956,1.44,282
-1883,3,8,N,0.4978,-0.4607,0.4978,283
-1883,4,6,N,0.4823,-0.4892,0.4823,284
-1883,9,1,N,0.2095,-0.8835,0.2095,285
-1883,9,30,N,0.1044,-0.9873,0.1044,286
-1882,2,25,P,0.8474,0.8474,1.8017,287
-1882,8,21,P,0.4561,0.4561,1.5243,288
-1881,2,15,T-,1.5782,1.5782,2.5713,289
-1881,8,10,T+,1.8202,1.8202,2.8309,290
-1880,2,4,P,0.1365,0.1365,1.1892,291
-1880,7,29,P,0.5241,0.5241,1.4853,292
-1880,12,25,N,0.438,-0.6627,0.438,293
-1879,6,20,N,0.8229,-0.1339,0.8229,294
-1879,7,19,N,0.2098,-0.7403,0.2098,295
-1879,12,14,P,0.6708,0.6708,1.7353,296
-1878,6,9,T,1.1736,1.1736,2.1775,297
-1878,12,3,T-,1.6881,1.6881,2.6964,298
-1877,5,30,T,1.0727,1.0727,2.1259,299
-1877,11,23,P,0.4931,0.4931,1.4671,300
-1876,5,18,N,0.7217,-0.3451,0.7217,301
-1876,10,13,N,0.4435,-0.5606,0.4435,302
-1876,11,11,N,0.2615,-0.7227,0.2615,303
-1875,4,7,P,0.3453,0.3453,1.3545,304
-1875,10,2,P,0.5921,0.5921,1.6514,305
-1874,3,28,T-,1.8114,1.8114,2.7728,306
-1874,9,21,T-,1.7777,1.7777,2.8742,307
-1873,3,18,P,0.6231,0.6231,1.5699,308
-1873,9,10,P,0.5111,0.5111,1.595,309
-1872,2,6,N,0.6053,-0.4063,0.6053,310
-1872,3,6,N,0.2186,-0.7576,0.2186,311
-1872,7,31,N,0.3902,-0.6018,0.3902,312
-1872,8,29,N,0.3447,-0.6854,0.3447,313
-1871,1,25,P,0.8152,0.8152,1.8853,314
-1871,7,20,P,0.8135,0.8135,1.7653,315
-1870,1,14,T+,1.5265,1.5265,2.6239,316
-1870,7,10,T-,1.6244,1.6244,2.5782,317
-1869,1,3,P,0.2777,0.2777,1.3503,318
-1869,6,30,P,0.1817,0.1817,1.1765,319
-1869,11,24,N,0.502,-0.4929,0.502,320
-1869,12,23,N,0.1548,-0.8635,0.1548,321
-1868,5,20,N,0.9625,-0.0992,0.9625,322
-1868,11,13,P,0.7682,0.7682,1.7403,323
-1867,5,9,T,1.2977,1.2977,2.3594,324
-1867,11,2,T+,1.7485,1.7485,2.7436,325
-1866,4,28,P,0.9507,0.9507,1.9696,326
-1866,10,23,P,0.3983,0.3983,1.4475,327
-1865,3,19,N,0.398,-0.5562,0.398,328
-1865,4,17,N,0.6141,-0.3529,0.6141,329
-1865,9,12,N,0.156,-0.9406,0.156,330
-1865,10,12,N,0.1237,-0.9721,0.1237,331
-1864,3,8,P,0.7549,0.7549,1.7074,332
-1864,8,31,P,0.3905,0.3905,1.4596,333
-1863,2,25,T-,1.6599,1.6599,2.6529,334
-1863,8,20,T-,1.8106,1.8106,2.8212,335
-1862,2,15,P,0.2075,0.2075,1.2598,336
-1862,8,10,P,0.6095,0.6095,1.5719,337
-1861,1,5,N,0.409,-0.6881,0.409,338
-1861,7,1,N,0.6992,-0.2617,0.6992,339
-1861,7,30,N,0.3022,-0.6516,0.3022,340
-1861,12,25,P,0.6629,0.6629,1.7224,341
-1860,6,20,T,1.0304,1.0304,2.0394,342
-1860,12,13,T-,1.693,1.693,2.6973,343
-1859,6,9,T,1.2262,1.2262,2.2828,344
-1859,12,3,P,0.4942,0.4942,1.4667,345
-1858,5,29,N,0.8818,-0.1847,0.8818,346
-1858,10,24,N,0.434,-0.5744,0.434,347
-1858,11,23,N,0.2556,-0.7302,0.2556,348
-1857,4,19,P,0.2199,0.2199,1.2238,349
-1857,10,13,P,0.5704,0.5704,1.6348,350
-1856,4,7,T-,1.6927,1.6927,2.6498,351
-1856,10,1,T+,1.8078,1.8078,2.9081,352
-1855,3,28,P,0.7344,0.7344,1.6793,353
-1855,9,20,P,0.5551,0.5551,1.6402,354
-1854,2,16,N,0.5265,-0.4852,0.5265,355
-1854,3,18,N,0.3111,-0.6653,0.3111,356
-1854,8,11,N,0.3185,-0.6735,0.3185,357
-1854,9,10,N,0.3999,-0.6302,0.3999,358
-1853,2,5,P,0.748,0.748,1.8173,359
-1853,8,1,P,0.7208,0.7208,1.6743,360
-1852,1,25,T+,1.5835,1.5835,2.6772,361
-1852,7,20,T-,1.7282,1.7282,2.6863,362
-1851,1,13,P,0.3199,0.3199,1.3866,363
-1851,7,10,P,0.2948,0.2948,1.2955,364
-1851,12,4,N,0.5058,-0.486,0.5058,365
-1850,1,3,N,0.1784,-0.8344,0.1784,366
-1850,5,31,N,0.8008,-0.263,0.8008,367
-1850,11,24,P,0.7688,0.7688,1.7407,368
-1849,5,20,T,1.1368,1.1368,2.1966,369
-1849,11,14,T+,1.7447,1.7447,2.7426,370
-1848,5,8,T,1.1047,1.1047,2.1192,371
-1848,11,2,P,0.3953,0.3953,1.4488,372
-1847,3,29,N,0.2903,-0.66,0.2903,373
-1847,4,27,N,0.7506,-0.2124,0.7506,374
-1847,9,22,N,0.1137,-0.9861,0.1137,375
-1847,10,22,N,0.1368,-0.9623,0.1368,376
-1846,3,19,P,0.6499,0.6499,1.601,377
-1846,9,11,P,0.3396,0.3396,1.4094,378
-1845,3,9,T-,1.7542,1.7542,2.7475,379
-1845,9,1,T-,1.7488,1.7488,2.7593,380
-1844,2,26,P,0.2927,0.2927,1.3447,381
-1844,8,20,P,0.6828,0.6828,1.6467,382
-1843,1,15,N,0.3666,-0.7262,0.3666,383
-1843,7,11,N,0.5835,-0.3822,0.5835,384
-1843,8,10,N,0.3831,-0.5748,0.3831,385
-1842,1,4,P,0.6439,0.6439,1.6977,386
-1842,7,1,P,0.8939,0.8939,1.9086,387
-1842,12,25,T-,1.708,1.708,2.7076,388
-1841,6,20,T+,1.3739,1.3739,2.4344,389
-1841,12,14,P,0.4996,0.4996,1.4702,390
-1840,6,8,Nx,1.042,-0.0245,1.042,391
-1840,11,3,N,0.4307,-0.5814,0.4307,392
-1840,12,3,N,0.2489,-0.738,0.2489,393
-1839,4,29,P,0.0874,0.0874,1.0866,394
-1839,10,24,P,0.5581,0.5581,1.6272,395
-1838,4,18,T-,1.5653,1.5653,2.5186,396
-1838,10,13,T+,1.7853,1.7853,2.8886,397
-1837,4,8,P,0.8525,0.8525,1.7961,398
-1837,10,2,P,0.5884,0.5884,1.6742,399
-1836,2,27,N,0.4376,-0.5743,0.4376,400
-1836,3,28,N,0.4117,-0.5652,0.4117,401
-1836,8,21,N,0.2582,-0.7341,0.2582,402
-1836,9,20,N,0.4437,-0.5861,0.4437,403
-1835,2,16,P,0.6671,0.6671,1.7353,404
-1835,8,11,P,0.6389,0.6389,1.5945,405
-1834,2,5,T+,1.6543,1.6543,2.744,406
-1834,8,1,T-,1.8201,1.8201,2.7829,407
-1833,1,25,P,0.3752,0.3752,1.4359,408
-1833,7,21,P,0.3959,0.3959,1.4028,409
-1833,12,16,N,0.5035,-0.4847,0.5035,410
-1832,1,14,N,0.212,-0.795,0.212,411
-1832,6,10,N,0.6437,-0.4227,0.6437,412
-1832,12,4,P,0.7669,0.7669,1.7382,413
-1831,5,30,P,0.9778,0.9778,2.0363,414
-1831,11,24,T+,1.7421,1.7421,2.7421,415
-1830,5,19,T,1.2592,1.2592,2.27,416
-1830,11,13,P,0.3895,0.3895,1.4464,417
-1829,4,9,N,0.1738,-0.7732,0.1738,418
-1829,5,9,N,0.891,-0.0687,0.891,419
-1829,10,4,N,0.0834,-1.0191,0.0834,420
-1829,11,2,N,0.1439,-0.9578,0.1439,421
-1828,3,29,P,0.5343,0.5343,1.4845,422
-1828,9,22,P,0.3028,0.3028,1.373,423
-1827,3,19,T+,1.8585,1.8585,2.8523,424
-1827,9,11,T-,1.7013,1.7013,2.7118,425
-1826,3,8,P,0.3931,0.3931,1.4448,426
-1826,8,31,P,0.7424,0.7424,1.7079,427
-1825,1,26,N,0.313,-0.7752,0.313,428
-1825,2,25,N,0.0766,-1.0068,0.0766,429
-1825,7,23,N,0.4781,-0.4929,0.4781,430
-1825,8,21,N,0.4516,-0.5106,0.4516,431
-1824,1,16,P,0.6171,0.6171,1.6647,432
-1824,7,11,P,0.7634,0.7634,1.7842,433
-1823,1,4,T-,1.7296,1.7296,2.7242,434
-1823,6,30,T+,1.5161,1.5161,2.5808,435
-1823,12,25,P,0.5128,0.5128,1.4812,436
-1822,6,19,P,0.1286,0.1286,1.1955,437
-1822,11,15,N,0.4277,-0.5876,0.4277,438
-1822,12,14,N,0.2479,-0.7397,0.2479,439
-1821,5,10,N,0.9509,-0.044,0.9509,440
-1821,11,4,P,0.549,0.549,1.6219,441
-1820,4,29,T-,1.4344,1.4344,2.3847,442
-1820,10,23,T+,1.7706,1.7706,2.8762,443
-1819,4,19,P,0.9802,0.9802,1.923,444
-1819,10,12,P,0.61,0.61,1.6959,445
-1818,3,10,N,0.3329,-0.6795,0.3329,446
-1818,4,8,N,0.5245,-0.4535,0.5245,447
-1818,9,2,N,0.2125,-0.7799,0.2125,448
-1818,10,1,N,0.4744,-0.5547,0.4744,449
-1817,2,27,P,0.57,0.57,1.6371,450
-1817,8,22,P,0.5711,0.5711,1.529,451
-1816,2,16,T+,1.7399,1.7399,2.8253,452
-1816,8,11,T+,1.8469,1.8469,2.8147,453
-1815,2,4,P,0.4426,0.4426,1.4968,454
-1815,8,1,P,0.4869,0.4869,1.5005,455
-1815,12,26,N,0.4943,-0.4898,0.4943,456
