year,month,day,type,magnitude,umbral_magnitude,penumbral_magnitude,cat_num
-1239,8,22,N,0.1733,-0.8662,0.1733,1840
-1238,1,16,P,0.8412,0.8412,1.8107,1841
-1238,7,12,P,0.683,0.683,1.7582,1842
-1237,1,6,T+,1.6575,1.6575,2.6304,1843
-1237,7,2,T-,1.5697,1.5697,2.6144,1844
-1237,12,27,P,0.3255,0.3255,1.3437,1845
-1236,6,20,P,0.22,0.22,1.2086,1846
-1236,11,15,N,0.299,-0.8011,0.299,1847
-1235,5,11,P,0.2335,0.2335,1.1729,1848
-1235,11,4,P,0.4139,0.4139,1.5144,1849
-1234,5,1,T+,1.5624,1.5624,2.5229,1850
-1234,10,24,T-,1.7424,1.7424,2.7957,1851
-1233,4,20,P,0.7221,0.7221,1.7351,1852
-1233,10,14,P,0.6813,0.6813,1.6766,1853
-1232,3,10,N,0.237,-0.8436,0.237,1854
-1232,4,9,N,0.2793,-0.7833,0.2793,1855
-1232,9,3,N,0.3909,-0.5723,0.3909,1856
-1232,10,2,N,0.4814,-0.4849,0.4814,1857
-1231,2,27,P,0.5234,0.5234,1.5885,1858
-1231,8,24,P,0.6251,0.6251,1.6245,1859
-1230,2,16,T-,1.7524,1.7524,2.7675,1860
-1230,8,13,T+,1.7215,1.7215,2.7735,1861
-1229,2,6,P,0.4803,0.4803,1.4509,1862
-1229,8,2,P,0.3276,0.3276,1.408,1863
-1229,12,28,N,0.5946,-0.3892,0.5946,1864
-1228,1,27,N,0.2295,-0.7341,0.2295,1865
-1228,6,21,N,0.5602,-0.4683,0.5602,1866
-1228,7,21,N,0.0946,-0.9647,0.0946,1867
-1228,12,17,P,0.7647,0.7647,1.8015,1868
-1227,6,11,T,1.0569,1.0569,2.0298,1869
-1227,12,6,T-,1.6195,1.6195,2.7108,1870
-1226,6,1,T,1.3152,1.3152,2.256,1871
-1226,11,25,P,0.3648,0.3648,1.4707,1872
-1225,4,22,Ne,0.1166,-0.8577,0.1166,1873
-1225,5,21,N,0.8963,-0.0553,0.8963,1874
-1225,10,15,N,0.1826,-0.8517,0.1826,1875
-1225,11,14,N,0.2824,-0.7863,0.2824,1876
-1224,4,10,P,0.3962,0.3962,1.4266,1877
-1224,10,4,P,0.538,0.538,1.5194,1878
-1223,3,31,T-,1.7512,1.7512,2.8232,1879
-1223,9,23,T+,1.803,1.803,2.7681,1880
-1222,3,20,P,0.5319,0.5319,1.5992,1881
-1222,9,13,P,0.637,0.637,1.6304,1882
-1221,2,7,N,0.4366,-0.5651,0.4366,1883
-1221,3,9,N,0.297,-0.7251,0.297,1884
-1221,8,4,N,0.3135,-0.7489,0.3135,1885
-1221,9,2,N,0.2364,-0.8099,0.2364,1886
-1220,1,28,P,0.807,0.807,1.7726,1887
-1220,7,23,P,0.5514,0.5514,1.6291,1888
-1219,1,17,T+,1.6844,1.6844,2.6563,1889
-1219,7,12,T-,1.7053,1.7053,2.7493,1890
-1218,1,6,P,0.3371,0.3371,1.3562,1891
-1218,7,1,P,0.3575,0.3575,1.3444,1892
-1218,11,27,N,0.2907,-0.8108,0.2907,1893
-1217,5,23,P,0.0986,0.0986,1.0378,1894
-1217,6,21,Nb,0.0615,-0.8846,0.0615,1895
-1217,11,16,P,0.4076,0.4076,1.5073,1896
-1216,5,11,T+,1.4231,1.4231,2.3855,1897
-1216,11,4,T-,1.7376,1.7376,2.789,1898
-1215,5,1,P,0.8584,0.8584,1.8736,1899
-1215,10,24,P,0.6961,0.6961,1.6907,1900
-1214,3,21,N,0.117,-0.9608,0.117,1901
-1214,4,20,N,0.4184,-0.6441,0.4184,1902
-1214,9,14,N,0.3424,-0.6249,0.3424,1903
-1214,10,14,N,0.5022,-0.4661,0.5022,1904
-1213,3,10,P,0.4254,0.4254,1.4845,1905
-1213,9,4,P,0.555,0.555,1.5607,1906
-1212,2,28,T-,1.8364,1.8364,2.8449,1907
-1212,8,23,T+,1.8043,1.8043,2.8627,1908
-1211,2,16,P,0.5473,0.5473,1.5131,1909
-1211,8,12,P,0.4323,0.4323,1.5165,1910
-1210,1,7,N,0.5724,-0.4113,0.5724,1911
-1210,2,6,N,0.2727,-0.6889,0.2727,1912
-1210,7,3,N,0.4315,-0.5955,0.4315,1913
-1210,8,1,N,0.2148,-0.8452,0.2148,1914
-1210,12,28,P,0.751,0.751,1.789,1915
-1209,6,22,P,0.9261,0.9261,1.8972,1916
-1209,12,17,T-,1.6279,1.6279,2.7198,1917
-1208,6,11,T+,1.4502,1.4502,2.3911,1918
-1208,12,5,P,0.3721,0.3721,1.4767,1919
-1207,6,1,P,0.0744,0.0744,1.0283,1920
-1207,10,26,N,0.1808,-0.8522,0.1808,1921
-1207,11,24,N,0.288,-0.778,0.288,1922
-1206,4,22,P,0.2536,0.2536,1.2855,1923
-1206,10,15,P,0.5242,0.5242,1.5058,1924
-1205,4,11,T-,1.6111,1.6111,2.6817,1925
-1205,10,5,T+,1.7747,1.7747,2.7427,1926
-1204,3,30,P,0.6611,0.6611,1.7235,1927
-1204,9,23,P,0.6698,0.6698,1.6688,1928
-1203,2,18,N,0.3779,-0.6176,0.3779,1929
-1203,3,19,N,0.4013,-0.6143,0.4013,1930
-1203,8,14,N,0.2146,-0.8535,0.2146,1931
-1203,9,13,N,0.2871,-0.7656,0.2871,1932
-1202,2,7,P,0.759,0.759,1.7206,1933
-1202,8,3,P,0.4324,0.4324,1.5128,1934
-1201,1,28,T+,1.7245,1.7245,2.6952,1935
-1201,7,23,T-,1.8281,1.8281,2.8718,1936
-1200,1,17,P,0.3616,0.3616,1.3811,1937
-1200,7,12,P,0.4842,0.4842,1.47,1938
-1200,12,7,N,0.2818,-0.8202,0.2818,1939
-1199,1,6,N,0.0121,-1.0659,0.0121,1940
-1199,6,2,N,0.902,-0.0377,0.902,1941
-1199,7,1,N,0.1879,-0.7586,0.1879,1942
-1199,11,26,P,0.4057,0.4057,1.5038,1943
-1198,5,23,T,1.2788,1.2788,2.2437,1944
-1198,11,15,T-,1.7378,1.7378,2.7868,1945
-1197,5,12,T,1.0031,1.0031,2.0212,1946
-1197,11,4,P,0.7037,0.7037,1.6973,1947
-1196,4,30,N,0.5654,-0.4974,0.5654,1948
-1196,9,25,N,0.3036,-0.6678,0.3036,1949
-1196,10,24,N,0.5157,-0.4543,0.5157,1950
-1195,3,21,P,0.3191,0.3191,1.3724,1951
-1195,9,14,P,0.4954,0.4954,1.5074,1952
-1194,3,10,T+,1.7827,1.7827,2.7846,1953
-1194,9,4,T-,1.7763,1.7763,2.8409,1954
-1193,2,28,P,0.6263,0.6263,1.5874,1955
-1193,8,24,P,0.5233,0.5233,1.6112,1956
-1192,1,19,N,0.5374,-0.4459,0.5374,1957
-1192,2,17,N,0.329,-0.6306,0.329,1958
-1192,7,13,N,0.3156,-0.7102,0.3156,1959
-1192,8,12,N,0.3203,-0.7403,0.3203,1960
-1191,1,7,P,0.7265,0.7265,1.7654,1961
-1191,7,2,P,0.8022,0.8022,1.7722,1962
-1191,12,27,T-,1.6447,1.6447,2.7366,1963
-1190,6,22,T+,1.5819,1.5819,2.5236,1964
-1190,12,16,P,0.3857,0.3857,1.488,1965
-1189,6,12,P,0.2035,0.2035,1.1606,1966
-1189,11,6,N,0.1855,-0.8456,0.1855,1967
-1189,12,6,N,0.2947,-0.7677,0.2947,1968
-1188,5,2,P,0.1032,0.1032,1.1372,1969
-1188,10,25,P,0.5182,0.5182,1.4997,1970
-1187,4,21,T-,1.4621,1.4621,2.5316,1971
-1187,10,15,T+,1.7566,1.7566,2.7275,1972
-1186,4,10,P,0.8025,0.8025,1.8601,1973
-1186,10,5,P,0.6904,0.6904,1.6948,1974
-1185,3,1,N,0.3071,-0.6822,0.3071,1975
-1185,3,30,N,0.5174,-0.492,0.5174,1976
-1185,8,25,N,0.1291,-0.9448,0.1291,1977
-1185,9,24,N,0.3256,-0.7333,0.3256,1978
-1184,2,19,P,0.6992,0.6992,1.6569,1979
-1184,8,13,P,0.3279,0.3279,1.411,1980
-1183,2,7,T+,1.7738,1.7738,2.7432,1981
-1183,8,2,T+,1.7327,1.7327,2.7761,1982
-1182,1,28,P,0.3953,0.3953,1.4151,1983
-1182,7,23,P,0.6012,0.6012,1.5862,1984
-1182,12,18,N,0.2665,-0.8352,0.2665,1985
-1181,1,17,N,0.0389,-1.0387,0.0389,1986
-1181,6,13,N,0.7695,-0.1714,0.7695,1987
-1181,7,12,N,0.3058,-0.6417,0.3058,1988
-1181,12,7,P,0.4013,0.4013,1.497,1989
-1180,6,2,T,1.1356,1.1356,2.1037,1990
-1180,11,25,T-,1.7375,1.7375,2.7834,1991
-1179,5,22,T,1.1489,1.1489,2.1702,1992
-1179,11,15,P,0.7084,0.7084,1.7004,1993
-1178,5,11,N,0.7211,-0.3424,0.7211,1994
-1178,10,6,N,0.276,-0.6993,0.276,1995
-1178,11,4,N,0.5218,-0.4495,0.5218,1996
-1177,4,1,P,0.1998,0.1998,1.2475,1997
-1177,9,26,P,0.4499,0.4499,1.468,1998
-1176,3,20,T+,1.6808,1.6808,2.6766,1999
-1176,9,14,T-,1.7146,1.7146,2.7854,2000
-1175,3,10,P,0.7174,0.7174,1.674,2001
-1175,9,3,P,0.6016,0.6016,1.6932,2002
-1174,1,29,N,0.4927,-0.49,0.4927,2003
-1174,2,28,N,0.3962,-0.5615,0.3962,2004
-1174,7,24,N,0.2089,-0.8162,0.2089,2005
-1174,8,23,N,0.4137,-0.6476,0.4137,2006
-1173,1,19,P,0.6917,0.6917,1.7311,2007
-1173,7,14,P,0.6862,0.6862,1.6556,2008
-1172,1,8,T-,1.6704,1.6704,2.7617,2009
-1172,7,2,T+,1.7068,1.7068,2.6498,2010
-1172,12,27,P,0.4054,0.4054,1.5047,2011
-1171,6,22,P,0.3283,0.3283,1.289,2012
-1171,11,16,N,0.1932,-0.8354,0.1932,2013
-1171,12,16,N,0.3037,-0.7545,0.3037,2014
-1170,5,13,N,0.9838,-0.0526,0.9838,2015
-1170,11,6,P,0.5177,0.5177,1.4987,2016
-1169,5,2,T,1.3064,1.3064,2.3752,2017
-1169,10,26,T+,1.7456,1.7456,2.7189,2018
-1168,4,20,P,0.9499,0.9499,2.0032,2019
-1168,10,15,P,0.7018,0.7018,1.7113,2020
-1167,3,11,N,0.225,-0.7583,0.225,2021
-1167,4,10,N,0.6426,-0.361,0.6426,2022
-1167,9,5,N,0.0566,-1.023,0.0566,2023
-1167,10,4,N,0.3535,-0.7112,0.3535,2024
-1166,3,1,P,0.6262,0.6262,1.5802,2025
-1166,8,25,P,0.2389,0.2389,1.3246,2026
-1165,2,19,T+,1.8393,1.8393,2.8076,2027
-1165,8,14,T+,1.6366,1.6366,2.6801,2028
-1164,2,8,P,0.4432,0.4432,1.4631,2029
-1164,8,2,P,0.7062,0.7062,1.691,2030
-1164,12,29,N,0.2449,-0.8558,0.2449,2031
-1163,1,27,N,0.0771,-0.9997,0.0771,2032
-1163,6,23,N,0.641,-0.3016,0.641,2033
-1163,7,23,N,0.4155,-0.5334,0.4155,2034
-1163,12,18,P,0.3952,0.3952,1.4877,2035
-1162,6,13,P,0.9903,0.9903,1.9623,2036
-1162,12,7,T-,1.7388,1.7388,2.7809,2037
-1161,6,3,T,1.2969,1.2969,2.3221,2038
-1161,11,26,P,0.7117,0.7117,1.7015,2039
-1160,5,22,N,0.8785,-0.1861,0.8785,2040
-1160,10,16,N,0.2574,-0.7216,0.2574,2041
-1160,11,15,N,0.5227,-0.4494,0.5227,2042
-1159,4,11,P,0.0745,0.0745,1.1167,2043
-1159,10,6,P,0.4136,0.4136,1.4375,2044
-1158,4,1,T+,1.5707,1.5707,2.5605,2045
-1158,9,25,T-,1.6641,1.6641,2.7405,2046
-1157,3,21,P,0.8205,0.8205,1.7731,2047
-1157,9,14,P,0.6654,0.6654,1.7603,2048
-1156,2,10,N,0.4338,-0.5483,0.4338,2049
-1156,3,10,N,0.476,-0.4802,0.476,2050
-1156,8,4,N,0.1159,-0.9087,0.1159,2051
-1156,9,2,N,0.4934,-0.5685,0.4934,2052
-1155,1,29,P,0.6433,0.6433,1.6829,2053
-1155,7,24,P,0.5808,0.5808,1.55,2054
-1154,1,18,T-,1.7098,1.7098,2.7998,2055
-1154,7,14,T+,1.8241,1.8241,2.7691,2056
-1153,1,7,P,0.436,0.436,1.5315,2057
-1153,7,3,P,0.4474,0.4474,1.4124,2058
-1153,11,28,N,0.2006,-0.8248,0.2006,2059
-1153,12,27,N,0.3204,-0.7329,0.3204,2060
-1152,5,23,N,0.8284,-0.211,0.8284,2061
-1152,11,16,P,0.5217,0.5217,1.5018,2062
-1151,5,13,T,1.1445,1.1445,2.2128,2063
-1151,11,6,T+,1.7419,1.7419,2.7174,2064
-1150,5,2,T,1.1054,1.1054,2.1547,2065
-1150,10,26,P,0.704,0.704,1.7182,2066
-1149,3,23,N,0.1317,-0.8458,0.1317,2067
-1149,4,21,N,0.7765,-0.2217,0.7765,2068
-1149,10,16,N,0.3703,-0.6996,0.3703,2069
-1148,3,11,P,0.5428,0.5428,1.4933,2070
-1148,9,4,P,0.1628,0.1628,1.251,2071
-1147,3,1,T-,1.834,1.834,2.8013,2072
-1147,8,24,T+,1.5535,1.5535,2.5972,2073
-1146,2,18,P,0.5043,0.5043,1.5242,2074
-1146,8,13,P,0.7992,0.7992,1.7841,2075
-1145,1,9,N,0.213,-0.8859,0.213,2076
-1145,2,8,N,0.1298,-0.9459,0.1298,2077
-1145,7,5,N,0.5202,-0.4249,0.5202,2078
-1145,8,3,N,0.5139,-0.437,0.5139,2079
-1145,12,29,P,0.3801,0.3801,1.4686,2080
-1144,6,23,P,0.852,0.852,1.8284,2081
-1144,12,17,T-,1.7356,1.7356,2.7733,2082
-1143,6,13,T-,1.4437,1.4437,2.4732,2083
-1143,12,7,P,0.7165,0.7165,1.7037,2084
-1142,6,2,Nx,1.0386,-0.0275,1.0386,2085
-1142,10,28,N,0.2456,-0.7365,0.2456,2086
-1142,11,26,N,0.5225,-0.45,0.5225,2087
-1141,4,22,N,0.9766,-0.0606,0.9766,2088
-1141,10,17,P,0.3893,0.3893,1.4186,2089
-1140,4,11,T+,1.4503,1.4503,2.4346,2090
-1140,10,5,T-,1.6255,1.6255,2.7071,2091
-1139,4,1,P,0.9333,0.9333,1.8821,2092
-1139,9,24,P,0.7161,0.7161,1.814,2093
-1138,2,20,N,0.3624,-0.6192,0.3624,2094
-1138,3,21,N,0.5682,-0.3868,0.5682,2095
-1138,8,15,Ne,0.0351,-0.9893,0.0351,2096
-1138,9,14,N,0.5589,-0.5036,0.5589,2097
-1137,2,9,P,0.5824,0.5824,1.622,2098
-1137,8,4,P,0.4864,0.4864,1.4559,2099
-1136,1,29,T-,1.7615,1.7615,2.8497,2100
-1136,7,24,T-,1.8369,1.8369,2.7844,2101
-1135,1,17,P,0.4756,0.4756,1.5668,2102
-1135,7,14,P,0.5608,0.5608,1.5306,2103
-1135,12,8,N,0.2067,-0.815,0.2067,2104
-1134,1,7,N,0.3433,-0.7046,0.3433,2105
-1134,6,4,N,0.6727,-0.3701,0.6727,2106
-1134,7,3,Nb,0.0674,-0.9532,0.0674,2107
-1134,11,27,P,0.5251,0.5251,1.5037,2108
-1133,5,24,P,0.9814,0.9814,2.0498,2109
-1133,11,17,T+,1.7403,1.7403,2.7174,2110
-1132,5,12,T,1.2618,1.2618,2.3074,2111
-1132,11,6,P,0.7028,0.7028,1.7211,2112
-1131,4,2,Ne,0.0301,-0.9421,0.0301,2113
-1131,5,1,N,0.9152,-0.0781,0.9152,2114
-1131,10,26,N,0.3795,-0.6951,0.3795,2115
-1130,3,23,P,0.445,0.445,1.3923,2116
-1130,9,15,P,0.1032,0.1032,1.1937,2117
-1129,3,12,T-,1.744,1.744,2.7106,2118
-1129,9,4,T+,1.4864,1.4864,2.5302,2119
-1128,3,1,P,0.5808,0.5808,1.6009,2120
-1128,8,24,P,0.8778,0.8778,1.863,2121
-1127,1,19,N,0.1719,-0.9248,0.1719,2122
-1127,2,18,N,0.1954,-0.8789,0.1954,2123
-1127,7,15,N,0.4053,-0.5429,0.4053,2124
-1127,8,13,N,0.6027,-0.3505,0.6027,2125
-1126,1,8,P,0.3601,0.3601,1.444,2126
-1126,7,5,P,0.7171,0.7171,1.6985,2127
-1126,12,28,T-,1.7272,1.7272,2.7599,2128
-1125,6,24,T-,1.5871,1.5871,2.6214,2129
-1125,12,18,P,0.7235,0.7235,1.7077,2130
-1124,6,12,P,0.1287,0.1287,1.1965,2131
-1124,11,7,N,0.2376,-0.7475,0.2376,2132
-1124,12,7,N,0.5226,-0.4499,0.5226,2133
-1123,5,3,N,0.8355,-0.1971,0.8355,2134
-1123,10,28,P,0.3714,0.3714,1.4055,2135
-1122,4,22,T,1.3226,1.3226,2.3019,2136
-1122,10,17,T-,1.5975,1.5975,2.6838,2137
-1121,4,12,T,1.0543,1.0543,2.0001,2138
-1121,10,6,P,0.7548,0.7548,1.855,2139
-1120,3,2,N,0.277,-0.7043,0.277,2140
-1120,4,1,N,0.6707,-0.2837,0.6707,2141
-1120,9,24,N,0.6098,-0.4529,0.6098,2142
-1119,2,20,P,0.5066,0.5066,1.5461,2143
-1119,8,15,P,0.4034,0.4034,1.3736,2144
-1118,2,9,T+,1.8018,1.8018,2.8879,2145
-1118,8,4,T-,1.7375,1.7375,2.688,2146
-1117,1,29,P,0.5315,0.5315,1.6178,2147
-1117,7,25,P,0.6642,0.6642,1.6393,2148
-1117,12,19,N,0.2078,-0.8096,0.2078,2149
-1116,1,18,N,0.3772,-0.6647,0.3772,2150
-1116,6,14,N,0.5192,-0.5275,0.5192,2151
-1116,7,14,N,0.1858,-0.8406,0.1858,2152
-1116,12,8,P,0.5276,0.5276,1.5043,2153
-1115,6,3,P,0.8175,0.8175,1.8862,2154
-1115,11,28,T+,1.742,1.742,2.7203,2155
-1114,5,23,T+,1.4224,1.4224,2.4648,2156
-1114,11,17,P,0.696,0.696,1.7178,2157
-1113,5,13,P,0.0691,0.0691,1.0581,2158
-1113,11,6,N,0.3827,-0.6958,0.3827,2159
-1112,4,2,P,0.3391,0.3391,1.2838,2160
-1112,9,26,P,0.0568,0.0568,1.1491,2161
-1111,3,23,T-,1.6446,1.6446,2.6107,2162
-1111,9,15,T+,1.4318,1.4318,2.4757,2163
-1110,3,12,P,0.6692,0.6692,1.6896,2164
-1110,9,4,P,0.9428,0.9428,1.9284,2165
-1109,1,31,N,0.1166,-0.9773,0.1166,2166
-1109,3,1,N,0.277,-0.7959,0.277,2167
-1109,7,26,N,0.3023,-0.6494,0.3023,2168
-1109,8,25,N,0.6772,-0.2786,0.6772,2169
-1108,1,20,P,0.3289,0.3289,1.4076,2170
-1108,7,15,P,0.5914,0.5914,1.5783,2171
-1107,1,8,T-,1.7099,1.7099,2.7372,2172
-1107,7,4,T-,1.7234,1.7234,2.7629,2173
-1107,12,28,P,0.7382,0.7382,1.7189,2174
-1106,6,24,P,0.2827,0.2827,1.3529,2175
-1106,11,18,N,0.2333,-0.7541,0.2333,2176
-1106,12,18,N,0.5257,-0.4462,0.5257,2177
-1105,5,14,N,0.6911,-0.3374,0.6911,2178
-1105,6,13,Nb,0.005,-1.0479,0.005,2179
-1105,11,8,P,0.3607,0.3607,1.3991,2180
-1104,5,2,T,1.19,1.19,2.1649,2181
-1104,10,27,T-,1.5803,1.5803,2.6706,2182
-1103,4,22,T,1.1838,1.1838,2.127,2183
-1103,10,16,P,0.7823,0.7823,1.8844,2184
-1102,3,13,N,0.1801,-0.801,0.1801,2185
-1102,4,12,N,0.783,-0.1711,0.783,2186
-1102,10,5,N,0.6486,-0.4139,0.6486,2187
-1101,3,3,P,0.4162,0.4162,1.4556,2188
-1101,8,26,P,0.3329,0.3329,1.3039,2189
-1100,2,20,T+,1.7238,1.7238,2.8077,2190
-1100,8,15,T-,1.6481,1.6481,2.6019,2191
-1099,2,8,P,0.598,0.598,1.6791,2192
-1099,8,4,P,0.7584,0.7584,1.7392,2193
-1099,12,30,N,0.2022,-0.8104,0.2022,2194
-1098,1,28,N,0.4222,-0.6134,0.4222,2195
-1098,6,25,N,0.3702,-0.6808,0.3702,2196
-1098,7,25,N,0.2966,-0.7359,0.2966,2197
-1098,12,19,P,0.5248,0.5248,1.4991,2198
-1097,6,14,P,0.6587,0.6587,1.7281,2199
-1097,12,9,T+,1.7394,1.7394,2.7184,2200
-1096,6,2,T+,1.5784,1.5784,2.618,2201
-1096,11,27,P,0.6901,0.6901,1.7148,2202
-1095,5,23,P,0.2183,0.2183,1.2035,2203
-1095,11,17,N,0.3821,-0.6995,0.3821,2204
-1094,4,13,P,0.2218,0.2218,1.1644,2205
-1094,10,7,P,0.0251,0.0251,1.1188,2206
-1093,4,3,T-,1.5307,1.5307,2.497,2207
-1093,9,26,T+,1.3932,1.3932,2.4369,2208
-1092,3,22,P,0.7713,0.7713,1.7922,2209
-1092,9,14,P,0.9952,0.9952,1.9812,2210
-1091,2,10,Ne,0.0501,-1.0406,0.0501,2211
-1091,3,12,N,0.3716,-0.6999,0.3716,2212
-1091,8,6,N,0.2085,-0.7472,0.2085,2213
-1091,9,4,N,0.7402,-0.2185,0.7402,2214
-1090,1,30,P,0.2864,0.2864,1.3595,2215
-1090,7,26,P,0.473,0.473,1.4658,2216
-1089,1,19,T-,1.6835,1.6835,2.7049,2217
-1089,7,16,T+,1.8188,1.8188,2.8638,2218
-1088,1,9,P,0.761,0.761,1.7378,2219
-1088,7,4,P,0.4291,0.4291,1.5017,2220
-1088,11,29,N,0.2291,-0.7602,0.2291,2221
-1088,12,28,N,0.5331,-0.438,0.5331,2222
-1087,5,24,N,0.5472,-0.4777,0.5472,2223
-1087,6,23,N,0.158,-0.8937,0.158,2224
-1087,11,18,P,0.3526,0.3526,1.3947,2225
-1086,5,14,T,1.0544,1.0544,2.0254,2226
-1086,11,7,T-,1.5673,1.5673,2.6608,2227
-1085,5,3,T,1.3182,1.3182,2.2594,2228
-1085,10,27,P,0.8015,0.8015,1.9047,2229
-1084,3,24,Ne,0.0712,-0.9103,0.0712,2230
-1084,4,22,N,0.9031,-0.0514,0.9031,2231
-1084,10,16,N,0.678,-0.384,0.678,2232
-1083,3,13,P,0.3115,0.3115,1.351,2233
-1083,9,5,P,0.2749,0.2749,1.2469,2234
-1082,3,2,T+,1.6277,1.6277,2.7091,2235
-1082,8,26,T-,1.5719,1.5719,2.5293,2236
-1081,2,19,P,0.6813,0.6813,1.7569,2237
-1081,8,16,P,0.8401,0.8401,1.8268,2238
-1080,1,10,N,0.1872,-0.8202,0.1872,2239
-1080,2,9,N,0.4801,-0.5489,0.4801,2240
-1080,7,6,N,0.2286,-0.8271,0.2286,2241
-1080,8,4,N,0.3975,-0.6414,0.3975,2242
-1080,12,30,P,0.5175,0.5175,1.4891,2243
-1079,6,25,P,0.5019,0.5019,1.5724,2244
-1079,12,19,T+,1.7358,1.7358,2.715,2245
-1078,6,14,T+,1.7334,1.7334,2.7708,2246
-1078,12,9,P,0.6852,0.6852,1.7122,2247
-1077,6,3,P,0.3658,0.3658,1.3479,2248
-1077,11,28,N,0.3803,-0.7038,0.3803,2249
-1076,4,23,P,0.0999,0.0999,1.041,2250
-1076,5,23,Nb,0.0562,-0.8874,0.0562,2251
-1076,10,17,P,0.0022,0.0022,1.0967,2252
-1075,4,13,T-,1.4103,1.4103,2.3771,2253
-1075,10,6,T+,1.3658,1.3658,2.409,2254
-1074,4,3,P,0.8856,0.8856,1.9074,2255
-1074,9,26,T,1.0343,1.0343,2.0207,2256
-1073,3,23,N,0.4809,-0.5893,0.4809,2257
-1073,8,17,N,0.1274,-0.8325,0.1274,2258
-1073,9,15,N,0.79,-0.1715,0.79,2259
-1072,2,10,P,0.2303,0.2303,1.2974,2260
-1072,8,6,P,0.3674,0.3674,1.3663,2261
-1071,1,29,T-,1.6452,1.6452,2.6603,2262
-1071,7,26,T+,1.6928,1.6928,2.7437,2263
-1070,1,19,P,0.7937,0.7937,1.7663,2264
-1070,7,15,P,0.5673,0.5673,1.6428,2265
-1070,12,10,N,0.2223,-0.7683,0.2223,2266
-1069,1,9,N,0.5488,-0.4211,0.5488,2267
-1069,6,5,N,0.4059,-0.6158,0.4059,2268
-1069,7,4,N,0.3036,-0.7474,0.3036,2269
-1069,11,30,P,0.3477,0.3477,1.3927,2270
-1068,5,24,P,0.9175,0.9175,1.8853,2271
-1068,11,18,T-,1.5595,1.5595,2.6555,2272
-1067,5,14,T-,1.4559,1.4559,2.3958,2273
-1067,11,7,P,0.8136,0.8136,1.9171,2274
-1066,5,3,P,0.0761,0.0761,1.0316,2275
-1066,10,27,N,0.6967,-0.3642,0.6967,2276
-1065,3,25,P,0.1947,0.1947,1.2345,2277
-1065,9,17,P,0.2287,0.2287,1.2019,2278
-1064,3,13,T+,1.5206,1.5206,2.5996,2279
-1064,9,5,T-,1.5079,1.5079,2.469,2280
-1063,3,2,P,0.776,0.776,1.846,2281
-1063,8,26,P,0.911,0.911,1.9038,2282
-1062,1,20,N,0.1626,-0.8392,0.1626,2283
-1062,2,19,N,0.5499,-0.4724,0.5499,2284
-1062,7,17,Ne,0.0961,-0.9646,0.0961,2285
-1062,8,15,N,0.4875,-0.558,0.4875,2286
-1061,1,10,P,0.4989,0.4989,1.4674,2287
-1061,7,6,P,0.3557,0.3557,1.4277,2288
-1061,12,31,T+,1.7234,1.7234,2.7025,2289
-1060,6,24,T-,1.8002,1.8002,2.8358,2290
-1060,12,19,P,0.6862,0.6862,1.715,2291
-1059,6,13,P,0.5105,0.5105,1.4901,2292
-1059,12,8,N,0.3806,-0.7051,0.3806,2293
-1058,5,5,N,0.9093,-0.0311,0.9093,2294
-1058,6,3,N,0.1916,-0.7511,0.1916,2295
-1058,10,29,Nx,1.086,-0.0086,1.086,2296
-1057,4,24,T,1.279,1.279,2.247,2297
-1057,10,18,T+,1.3501,1.3501,2.3924,2298
-1056,4,13,T,1.0111,1.0111,2.0342,2299
-1056,10,6,T,1.0617,1.0617,2.0484,2300
-1055,4,2,N,0.6033,-0.4656,0.6033,2301
-1055,8,27,N,0.0564,-0.9081,0.0564,2302
-1055,9,26,N,0.8283,-0.1361,0.8283,2303
-1054,2,20,P,0.163,0.163,1.2238,2304
-1054,8,17,P,0.2722,0.2722,1.2777,2305
-1053,2,10,T-,1.5949,1.5949,2.6036,2306
-1053,8,6,T+,1.5787,1.5787,2.6356,2307
-1052,1,30,P,0.8353,0.8353,1.8037,2308
-1052,7,25,P,0.6961,0.6961,1.7745,2309
-1052,12,21,N,0.2111,-0.7804,0.2111,2310
-1051,1,19,N,0.5719,-0.3966,0.5719,2311
-1051,6,15,N,0.2705,-0.7486,0.2705,2312
-1051,7,14,N,0.4408,-0.6097,0.4408,2313
-1051,12,10,P,0.339,0.339,1.3863,2314
-1050,6,4,P,0.7811,0.7811,1.7464,2315
-1050,11,29,T-,1.5515,1.5515,2.6491,2316
-1049,5,25,T-,1.5938,1.5938,2.5333,2317
-1049,11,18,P,0.8245,0.8245,1.9275,2318
-1048,5,14,P,0.206,0.206,1.1631,2319
-1048,11,6,N,0.7089,-0.3502,0.7089,2320
-1047,4,4,P,0.0642,0.0642,1.1045,2321
-1047,9,27,P,0.1947,0.1947,1.1688,2322
-1046,3,24,T+,1.3977,1.3977,2.4742,2323
-1046,9,17,T-,1.457,1.457,2.422,2324
-1045,3,13,P,0.8871,0.8871,1.9514,2325
-1045,9,6,P,0.9678,0.9678,1.9667,2326
-1044,2,1,N,0.1268,-0.8693,0.1268,2327
-1044,3,1,N,0.6324,-0.3833,0.6324,2328
-1044,8,26,N,0.5673,-0.4848,0.5673,2329
-1043,1,20,P,0.4725,0.4725,1.4377,2330
-1043,7,16,P,0.2167,0.2167,1.2903,2331
