year,month,day,type,magnitude,max_lat,max_lon,gamma,cat_num
-1999,6,12,T,1.0733,6.0,-33.3,-0.2701,1
-1999,12,5,A,0.9382,-32.9,10.8,-0.2317,2
-1998,6,1,T,1.0284,46.2,83.4,0.4994,3
-1998,11,25,A,0.9806,-67.8,-143.8,-0.9045,4
-1997,4,22,P,0.1611,-60.6,-106.4,-1.467,5
-1997,5,22,P,0.4035,61.7,-151.7,1.3253,6
-1997,10,16,P,0.6954,60.6,-22.7,1.1669,7
-1997,11,14,P,0.0377,-61.5,-27.7,-1.5183,8
-1996,4,10,A,0.9464,-38.2,-167.2,-0.7231,9
-1996,10,4,T,1.0257,28.8,38.6,0.5166,10
-1995,3,30,A,0.9873,-0.2,112.7,0.0609,11
-1995,9,24,A,0.9766,-3.1,-150.0,-0.1863,12
-1994,3,20,T,1.0333,39.4,-73.3,0.8091,13
-1994,9,13,A,0.9249,-48.2,116.1,-0.9265,14
-1993,2,8,P,0.8826,-62.7,-23.1,-1.0699,15
-1993,3,9,Pb,0.0754,61.2,11.4,1.4907,16
-1993,8,3,P,0.4292,63.5,-166.7,1.3116,17
-1992,1,29,T,1.0181,-44.1,-13.3,-0.3875,18
-1992,7,23,H,1.0059,54.0,-39.0,0.5182,19
-1991,1,17,A,0.9599,-3.5,-160.1,0.346,20
-1991,7,12,T,1.0606,10.0,106.3,-0.2421,21
-1990,1,6,P,0.8256,65.4,163.3,1.0749,22
-1990,7,2,T,1.0609,-51.2,-149.5,-0.9623,23
-1990,11,26,P,0.5316,-69.3,-67.4,-1.2517,24
-1989,5,23,H,1.0067,72.1,79.4,0.8616,25
-1989,11,16,H,1.0036,-44.0,-54.1,-0.5096,26
-1988,5,11,A,0.9652,18.3,16.8,0.0987,27
-1988,11,4,T,1.0435,-0.6,106.5,0.1768,28
-1987,5,1,A,0.9464,-31.9,17.1,-0.6733,29
-1987,10,25,T,1.026,48.3,-107.1,0.846,30
-1986,3,21,P,0.3949,71.2,79.3,1.3284,31
-1986,4,20,P,0.2645,-71.5,44.6,-1.4035,32
-1986,9,15,P,0.4983,-71.0,-155.5,-1.2711,33
-1985,3,11,T,1.049,20.3,-44.2,0.5312,34
-1985,9,4,A,0.9272,-21.9,-138.3,-0.5977,35
-1984,2,28,T,1.069,-25.5,81.9,-0.1975,36
-1984,8,23,A,0.9402,24.0,-123.1,0.1151,37
-1983,2,17,T,1.0259,-79.1,-89.1,-0.9309,38
-1983,8,12,A,0.982,75.4,-168.1,0.8332,39
-1982,1,8,P,0.7132,65.6,-85.9,1.1451,40
-1982,7,3,P,0.8933,-64.8,127.1,-1.0663,41
-1982,8,2,Pb,0.0678,67.5,157.3,1.4996,42
-1982,12,28,A,0.9191,4.2,-97.2,0.471,43
-1981,6,23,T,1.0693,3.3,-146.8,-0.3407,44
-1981,12,17,A,0.942,-35.0,-110.7,-0.2249,45
-1980,6,12,T,1.0242,45.0,-19.9,0.4248,46
-1980,12,5,A,0.9845,-72.0,82.1,-0.9018,47
-1979,5,2,Pe,0.011,-60.9,147.5,-1.5543,48
-1979,6,1,P,0.5442,62.3,99.3,1.2453,49
-1979,10,26,P,0.691,60.8,-165.9,1.1691,50
-1979,11,25,P,0.0392,-62.1,-171.7,-1.517,51
-1978,4,21,A,0.9476,-40.6,97.8,-0.8065,52
-1978,10,16,T,1.0214,24.8,-94.0,0.5237,53
-1977,4,11,A,0.9927,0.4,8.5,-0.0139,54
-1977,10,5,A,0.9713,-6.9,84.7,-0.1747,55
-1976,3,30,T,1.0404,37.9,174.7,0.7436,56
-1976,9,23,A,0.9215,-48.2,-2.8,-0.9053,57
-1975,2,18,P,0.807,-62.0,-155.5,-1.1099,58
-1975,3,20,P,0.1811,60.9,-115.5,1.4354,59
-1975,8,14,P,0.3516,62.7,73.8,1.3569,60
-1974,2,8,T,1.0179,-43.3,-131.6,-0.423,61
-1974,8,3,H,1.0057,55.0,-147.6,0.5677,62
-1973,1,28,A,0.9602,-4.2,82.0,0.3168,63
-1973,7,24,T,1.0601,12.9,-11.3,-0.1865,64
-1972,1,17,P,0.8677,64.4,38.0,1.0502,65
-1972,7,12,T,1.0603,-40.7,89.6,-0.9033,66
-1972,12,7,P,0.5347,-68.4,154.4,-1.25,67
-1971,6,2,A,0.9992,81.4,-79.8,0.9435,68
-1971,11,26,H,1.0069,-47.7,175.3,-0.506,69
-1970,5,23,A,0.9625,26.8,-82.7,0.1869,70
-1970,11,16,T,1.0442,-4.4,-29.3,0.1785,71
-1969,5,12,A,0.9485,-22.1,-83.5,-0.5839,72
-1969,11,5,T,1.0233,45.1,115.1,0.8487,73
-1968,3,31,P,0.2843,71.5,-42.9,1.389,74
-1968,4,30,P,0.411,-71.2,-70.6,-1.3203,75
-1968,9,25,P,0.4628,-71.5,69.3,-1.2916,76
-1967,3,21,T,1.0537,27.8,-163.6,0.5876,77
-1967,9,14,A,0.9232,-27.4,104.6,-0.6263,78
-1966,3,11,T,1.0719,-18.7,-38.7,-0.1456,79
-1966,9,3,A,0.939,18.5,123.3,0.0794,80
-1965,2,28,T,1.0279,-71.9,125.0,-0.889,81
-1965,8,23,A,0.9831,67.9,73.2,0.7919,82
-1964,1,19,P,0.6686,66.7,145.4,1.1713,83
-1964,7,14,P,0.7821,-65.8,0.1,-1.1238,84
-1964,8,12,P,0.154,68.5,25.2,1.454,85
-1963,1,7,A,0.9215,5.4,144.8,0.4901,86
-1963,7,3,T,1.0646,-0.1,98.3,-0.4077,87
-1963,12,27,A,0.9464,-35.9,129.6,-0.2134,88
-1962,6,23,T,1.0193,43.0,-124.2,0.3533,89
-1962,12,16,A,0.9893,-76.3,-47.3,-0.8949,90
-1961,6,12,P,0.6797,63.1,-10.3,1.1676,91
-1961,11,7,P,0.691,61.1,50.2,1.169,92
-1961,12,6,P,0.0428,-62.9,44.7,-1.5144,93
-1960,5,2,A,0.9479,-45.2,4.7,-0.8919,94
-1960,10,26,T,1.0175,21.0,132.2,0.5271,95
-1959,4,21,A,0.9977,0.6,-94.7,-0.0923,96
-1959,10,16,A,0.9665,-11.1,-42.0,-0.1688,97
-1958,4,10,T,1.0468,37.0,64.7,0.6719,98
-1958,10,5,A,0.9183,-49.8,-124.6,-0.8914,99
-1957,3,2,P,0.7169,-61.4,74.5,-1.1573,100
-1957,3,31,P,0.2986,60.7,119.5,1.3744,101
-1957,8,25,P,0.2884,62.0,-48.2,1.3938,102
-1957,9,24,Pb,0.0061,-60.7,-147.1,-1.566,103
-1956,2,19,T,1.0176,-42.2,111.9,-0.4649,104
-1956,8,13,H,1.0054,54.4,100.8,0.61,105
-1955,2,8,A,0.9608,-4.4,-33.4,0.2811,106
-1955,8,3,T,1.0589,14.5,-130.1,-0.1359,107
-1954,7,24,T,1.058,-34.1,-31.5,-0.8494,109
-1954,12,18,P,0.5318,-67.3,17.7,-1.2518,110
-1953,6,14,P,0.9489,68.0,99.1,1.0223,111
-1953,12,7,H,1.0107,-50.8,46.4,-0.505,112
-1952,6,2,A,0.9595,34.9,178.5,0.2734,113
-1952,11,26,T,1.0452,-7.7,-164.7,0.1792,114
-1951,5,22,A,0.9502,-13.1,176.9,-0.4945,115
-1951,11,16,T,1.0211,42.4,-22.8,0.852,116
-1950,4,12,P,0.1642,71.5,-164.0,1.4542,117
-1950,5,11,P,0.5621,-70.6,174.6,-1.2352,118
-1950,10,6,P,0.4387,-71.7,-67.9,-1.3058,119
-1949,4,1,T,1.0576,36.0,77.8,0.6496,120
-1949,9,26,A,0.9197,-32.8,-14.4,-0.6477,121
-1948,3,21,T,1.0742,-11.4,-158.1,-0.0878,122
-1948,9,14,A,0.938,13.1,6.6,0.0521,123
-1947,3,11,T,1.0294,-63.3,-4.3,-0.839,124
-1947,9,3,A,0.9839,61.0,-48.4,0.7585,125
-1946,1,29,P,0.611,67.8,18.9,1.2051,126
-1946,7,25,P,0.6819,-66.8,-129.1,-1.1756,127
-1946,8,23,P,0.2262,69.4,-109.9,1.4157,128
-1945,1,18,A,0.9243,7.8,28.7,0.5161,129
-1945,7,15,T,1.0593,-4.1,-18.5,-0.4692,130
-1944,1,7,A,0.9514,-35.5,11.1,-0.1977,131
-1944,7,3,H,1.0139,40.3,130.4,0.2846,132
-1944,12,27,A,0.9946,-80.4,-169.0,-0.8854,133
-1943,6,22,P,0.8113,63.9,-120.4,1.0914,134
-1943,11,17,P,0.6919,61.6,-94.1,1.1685,135
-1943,12,16,P,0.0512,-63.7,-98.4,-1.5092,136
-1942,5,13,A,0.9462,-54.8,-81.5,-0.9784,137
-1942,11,7,H3,1.0143,17.4,-2.2,0.5284,138
-1941,5,2,Hm,1.0021,0.5,161.9,-0.1717,139
-1941,10,27,A,0.9623,-15.5,-169.1,-0.1649,140
-1940,4,21,T,1.0524,36.8,-44.7,0.5983,141
-1940,10,15,A,0.9156,-52.3,112.2,-0.8816,142
-1939,3,12,P,0.6133,-61.0,-53.1,-1.2114,143
-1939,4,10,P,0.4259,60.6,-4.1,1.3086,144
-1939,9,4,P,0.2384,61.4,-172.6,1.423,145
-1939,10,4,P,0.0367,-60.5,85.4,-1.5481,146
-1938,3,2,T,1.0169,-41.0,-2.1,-0.5156,147
-1938,8,25,H,1.005,52.6,-15.0,0.6444,148
-1937,2,19,A,0.9613,-4.4,-145.3,0.2352,149
-1937,8,14,T,1.0574,14.8,108.7,-0.0934,150
-1936,2,8,An,0.9202,53.9,167.7,0.9793,151
-1936,8,3,T,1.0548,-29.8,-153.4,-0.8011,152
-1936,12,28,P,0.5216,-66.2,-117.4,-1.2579,153
-1935,6,24,P,0.8073,67.0,-18.0,1.0997,154
-1935,12,18,H2,1.015,-53.2,-80.5,-0.507,155
-1934,6,13,A,0.9558,42.5,81.0,0.3594,156
-1934,12,7,T,1.0468,-10.4,60.5,0.1788,157
-1933,6,2,A,0.9512,-4.8,77.7,-0.406,158
-1933,11,27,T,1.0194,40.1,-160.5,0.8553,159
-1932,4,22,Pe,0.0401,71.2,75.4,1.521,160
-1932,5,21,P,0.7135,-69.9,59.9,-1.1505,161
-1932,10,17,P,0.4228,-71.6,153.6,-1.3152,162
-1931,4,12,T,1.0608,44.8,-40.6,0.7158,163
-1931,10,6,A,0.9167,-38.0,-135.1,-0.663,164
-1930,4,1,Tm,1.076,-3.7,83.6,-0.0247,165
-1930,9,25,A,0.9374,7.7,-112.5,0.0317,166
-1929,3,22,T,1.0303,-54.5,-127.0,-0.7834,167
-1929,9,14,A,0.9846,54.7,-172.8,0.7326,168
-1928,2,10,P,0.5418,68.8,-105.8,1.2457,169
-1928,8,4,P,0.5932,-67.8,99.4,-1.2216,170
-1928,9,3,P,0.2863,70.2,112.4,1.3838,171
-1927,1,29,A,0.9274,11.5,-85.7,0.5491,172
-1927,7,25,T,1.0535,-8.6,-137.3,-0.5249,173
-1926,1,18,A,0.957,-33.5,-105.5,-0.1741,174
-1926,7,14,H,1.0079,36.8,22.8,0.2216,175
-1925,1,7,H,1.0006,-83.1,91.4,-0.8696,176
-1925,7,4,P,0.9342,64.8,128.0,1.0195,177
-1925,11,28,P,0.6904,62.3,121.8,1.1693,178
-1925,12,28,P,0.0675,-64.7,119.6,-1.4998,179
-1924,5,23,P,0.8577,-61.8,-170.4,-1.0637,180
-1924,11,17,H,1.0116,14.2,-137.0,0.5283,181
-1923,5,12,H,1.0059,-0.2,59.1,-0.2538,182
-1923,11,6,A,0.9588,-19.8,63.2,-0.1649,183
-1922,5,2,T,1.0573,36.7,-152.8,0.5213,184
-1922,10,26,A,0.9134,-55.6,-12.7,-0.8763,185
-1921,3,23,P,0.4978,-60.7,-178.8,-1.2716,186
-1921,4,22,P,0.5603,60.7,-126.7,1.2395,187
-1921,9,16,P,0.2026,61.0,60.3,1.444,188
-1921,10,15,P,0.0567,-60.5,-44.0,-1.5362,189
-1920,3,12,T,1.0158,-39.9,-114.4,-0.5721,190
-1920,9,4,H,1.0046,49.9,-134.7,0.6724,191
-1919,3,1,A,0.9619,-4.1,105.2,0.183,192
-1919,8,25,T,1.0556,13.9,-14.5,-0.057,193
-1918,2,18,A,0.9255,46.0,61.8,0.9312,194
-1918,8,14,T,1.051,-27.3,83.1,-0.7596,195
-1917,1,9,P,0.5017,-65.2,109.5,-1.2694,196
-1917,7,5,P,0.6764,66.0,-135.7,1.1718,197
-1917,8,4,Pb,0.0346,-63.5,-148.9,-1.5248,198
-1917,12,29,T,1.0197,-54.8,154.9,-0.5141,199
-1916,6,24,A,0.9519,49.4,-15.9,0.4409,200
-1916,12,18,T,1.0488,-12.6,-73.1,0.1747,201
-1915,6,13,A,0.9518,2.8,-21.3,-0.3194,202
-1915,12,7,T,1.0182,38.2,62.4,0.8567,203
-1914,6,2,P,0.8639,-69.0,-55.2,-1.0668,204
-1914,10,28,P,0.4125,-71.3,14.6,-1.3215,205
-1913,4,23,T,1.0629,54.3,-159.8,0.7853,206
-1913,10,17,A,0.9145,-43.1,103.1,-0.6726,207
-1912,4,12,T,1.0769,4.3,-33.4,0.0431,208
-1912,10,5,A,0.9371,2.4,126.0,0.0182,209
-1911,4,1,T,1.0307,-45.5,114.4,-0.7212,210
-1911,9,24,A,0.9854,48.8,60.2,0.7144,211
-1910,2,20,P,0.4569,69.7,132.1,1.2954,212
-1910,3,22,Pb,0.0265,-71.2,61.6,-1.5388,213
-1910,8,16,P,0.5188,-68.8,-34.8,-1.2603,214
-1910,9,14,P,0.3312,70.9,-28.4,1.36,215
-1909,2,9,A,0.9307,16.3,161.6,0.5892,216
-1909,8,5,T,1.0475,-13.5,101.7,-0.5746,217
-1908,1,29,A,0.9628,-30.3,138.8,-0.1448,218
-1908,7,25,H,1.0017,32.7,-86.7,0.1634,219
-1907,1,18,H,1.0071,-81.7,4.7,-0.8487,220
-1907,7,14,A,0.9452,82.7,36.3,0.9506,221
-1907,12,9,P,0.6864,63.1,-22.1,1.1714,222
-1906,1,7,P,0.0912,-65.7,-21.5,-1.4864,223
-1906,6,3,P,0.7138,-62.5,82.6,-1.147,224
-1906,11,28,H,1.0095,11.6,89.1,0.5296,225
-1905,5,24,H,1.009,-1.6,-45.0,-0.3336,226
-1905,11,18,A,0.9559,-23.9,-63.9,-0.1653,227
-1904,5,12,T,1.0613,36.6,99.2,0.4441,228
-1904,11,6,A,0.9118,-59.4,-138.0,-0.8727,229
-1903,4,3,P,0.3724,-60.6,57.2,-1.3369,230
-1903,5,2,P,0.6993,61.0,111.5,1.1681,231
-1903,9,26,P,0.1777,60.7,-68.9,1.4585,232
-1903,10,26,P,0.0711,-60.7,-174.7,-1.5275,233
-1902,3,23,T,1.014,-39.4,136.0,-0.6371,234
-1902,9,15,H,1.0044,46.6,101.3,0.6925,235
-1901,3,13,Am,0.9623,-3.6,-1.2,0.1217,236
-1901,9,5,T,1.0537,12.0,-140.2,-0.0279,237
-1900,3,1,A,0.9302,41.1,-42.9,0.8748,238
-1900,8,25,T,1.0467,-26.4,-42.2,-0.725,239
-1899,1,19,P,0.4706,-64.2,-21.5,-1.2871,240
-1899,7,16,P,0.5537,65.0,106.2,1.2402,241
-1899,8,14,P,0.1079,-62.7,84.8,-1.4863,242
-1898,1,8,T,1.0248,-55.5,32.1,-0.5261,243
-1898,7,5,A,0.9476,55.2,-111.5,0.5188,244
-1898,12,29,T,1.0512,-14.2,154.8,0.1665,245
-1897,6,24,A,0.9519,9.3,-121.0,-0.237,246
-1897,12,19,T,1.0176,36.5,-73.9,0.8559,247
-1896,6,12,A,0.9821,-59.4,-174.8,-0.9851,248
-1896,11,7,P,0.4066,-70.7,-124.5,-1.3252,249
-1895,5,3,T,1.064,64.4,77.3,0.8566,250
-1895,10,28,A,0.913,-48.0,-19.1,-0.6781,251
-1894,4,23,T,1.077,12.5,-149.2,0.1144,252
-1894,10,16,A,0.9375,-2.5,2.9,0.0099,253
-1893,4,13,T,1.0302,-36.7,-1.7,-0.6552,254
-1893,10,6,A,0.9865,43.4,-68.7,0.7011,255
-1892,3,2,P,0.3609,70.5,11.7,1.3514,256
-1892,4,1,P,0.1369,-71.5,-57.4,-1.4763,257
-1892,8,26,P,0.457,-69.7,-171.7,-1.2926,258
-1892,9,24,P,0.3652,71.4,-171.6,1.342,259
-1891,2,19,A,0.934,22.4,50.9,0.6381,260
-1891,8,16,T,1.0412,-18.6,-21.6,-0.6177,261
-1890,2,8,A,0.969,-25.8,24.5,-0.1069,262
-1890,8,5,Am,0.9952,28.1,161.0,0.1125,263
-1889,1,29,T,1.014,-76.7,-101.4,-0.8198,264
-1889,7,25,A,0.9427,86.2,90.3,0.8889,265
-1889,12,20,P,0.6761,64.0,-165.3,1.1769,266
-1888,1,18,P,0.1258,-66.7,-161.3,-1.4674,267
-1888,6,14,P,0.5742,-63.3,-25.4,-1.2276,268
-1888,12,9,H,1.0079,9.8,-44.3,0.532,269
-1887,6,3,H,1.0115,-3.7,-149.8,-0.4126,270
-1887,11,28,Am,0.9537,-27.4,169.8,-0.1654,271
-1886,5,23,T,1.0644,36.1,-8.4,0.3658,272
-1886,11,17,A,0.9109,-63.5,96.4,-0.8709,273
-1885,4,14,P,0.2387,-60.7,-65.3,-1.4065,274
-1885,5,13,P,0.8412,61.4,-10.0,1.0951,275
-1885,10,7,P,0.1624,60.6,159.9,1.4674,276
-1885,11,6,P,0.081,-61.1,53.6,-1.5214,277
-1884,4,3,H3,1.0117,-39.5,27.9,-0.7065,278
-1884,9,26,H,1.0045,43.1,-26.0,0.7067,279
-1883,3,23,A,0.9625,-3.0,-105.1,0.0534,280
-1883,9,15,T,1.0518,9.2,91.9,-0.005,281
-1882,3,12,A,0.9347,37.7,-145.4,0.8112,282
-1882,9,5,T,1.0423,-26.8,-169.2,-0.6972,283
-1881,1,30,P,0.4269,-63.3,-150.3,-1.3118,284
-1881,3,1,Pb,0.0793,61.4,157.8,1.5127,285
-1881,7,27,P,0.4449,64.0,-13.3,1.3015,286
-1881,8,25,P,0.1672,-62.0,-43.2,-1.4549,287
-1880,1,20,T,1.0301,-55.3,-88.9,-0.5444,288
-1880,7,15,A,0.943,59.7,154.2,0.5912,289
-1879,1,8,T,1.0539,-15.2,24.5,0.1528,290
-1879,7,4,A,0.9516,14.7,138.6,-0.1592,291
-1879,12,29,T,1.0175,34.7,151.7,0.8495,292
-1878,6,23,A,0.9881,-42.6,71.0,-0.9074,293
-1878,11,19,P,0.4012,-70.0,97.0,-1.3285,294
-1877,5,15,T,1.0633,74.5,-60.5,0.9288,295
-1877,11,8,A,0.9122,-52.8,-141.0,-0.6816,296
-1876,5,3,T,1.0763,20.7,96.0,0.1886,297
-1876,10,27,A,0.9384,-7.2,-121.6,0.0064,298
-1875,4,23,T,1.0291,-27.8,-115.1,-0.583,299
-1875,10,16,A,0.9877,38.6,160.3,0.6941,300
-1874,3,14,P,0.2506,71.1,-106.4,1.4157,301
-1874,4,12,P,0.2599,-71.5,-174.2,-1.4066,302
-1874,9,6,P,0.4083,-70.5,48.6,-1.3183,303
-1874,10,6,P,0.3878,71.6,43.0,1.3299,304
-1873,3,3,A,0.9372,29.6,-58.7,0.6938,305
-1873,8,27,T,1.0348,-23.9,-147.1,-0.6537,306
-1872,2,20,A,0.9753,-20.3,-89.3,-0.0635,307
-1872,8,15,A,0.9887,23.1,46.6,0.0669,308
-1871,2,8,T,1.021,-70.3,141.1,-0.7858,309
-1871,8,5,A,0.9393,77.5,-4.6,0.8327,310
-1871,12,30,P,0.6574,65.0,52.7,1.1869,311
-1870,1,29,P,0.1718,-67.8,60.4,-1.4425,312
-1870,6,25,P,0.4433,-64.2,-135.4,-1.3031,313
-1870,7,25,Pb,0.0081,66.8,151.8,1.56,314
-1870,12,20,H,1.0066,9.0,-176.3,0.5379,315
-1869,6,14,H,1.0133,-6.6,103.4,-0.4875,316
-1869,12,9,A,0.9521,-30.1,45.4,-0.1623,317
-1868,6,3,T,1.0667,35.3,-116.9,0.29,318
-1868,11,27,A,0.9107,-67.8,-27.5,-0.8678,319
-1867,4,24,Pe,0.0973,-60.8,173.6,-1.4802,320
-1867,5,24,P,0.9844,61.9,-131.3,1.0213,321
-1867,10,18,P,0.1561,60.7,26.8,1.4709,322
-1867,11,16,P,0.0884,-61.6,-78.8,-1.5165,323
-1866,4,14,H,1.0084,-40.8,-77.7,-0.7818,324
-1866,10,7,H,1.005,39.4,-156.4,0.7148,325
-1865,4,3,A,0.9623,-2.6,153.4,-0.0214,326
-1865,9,27,T,1.05,5.6,-38.6,0.0102,327
-1864,3,22,A,0.9389,35.4,114.6,0.7404,328
-1864,9,15,T,1.0377,-28.4,61.8,-0.6763,329
-1863,2,10,P,0.3711,-62.6,83.1,-1.3429,330
-1863,3,11,P,0.1845,61.0,41.3,1.4511,331
-1863,8,6,P,0.348,63.1,-133.9,1.3569,332
-1863,9,5,P,0.2136,-61.4,-173.0,-1.4302,333
-1862,1,30,T,1.0355,-54.4,151.5,-0.5698,334
-1862,7,26,A,0.9383,62.4,60.2,0.657,335
-1861,1,20,T,1.0568,-15.7,-104.1,0.1335,336
-1861,7,15,A,0.951,19.0,37.1,-0.087,337
-1860,1,9,T,1.0178,33.0,19.0,0.8391,338
-1860,7,4,A,0.9917,-32.9,-40.2,-0.8339,339
-1860,11,29,P,0.3957,-69.0,-40.5,-1.332,340
-1859,6,23,Pb,0.0181,-67.0,142.0,-1.5239,342
-1859,11,18,A,0.9121,-57.3,98.3,-0.6838,343
-1858,5,15,T,1.0746,28.8,-18.0,0.2636,344
-1858,11,7,A,0.94,-11.5,113.4,0.0044,345
-1857,5,4,T,1.0272,-19.3,132.9,-0.5094,346
-1857,10,27,A,0.9895,34.3,28.1,0.6901,347
-1856,3,24,P,0.1309,71.5,137.2,1.4854,348
-1856,4,22,P,0.3895,-71.3,70.4,-1.333,349
-1856,9,17,P,0.3709,-71.1,-93.4,-1.3381,350
-1856,10,16,P,0.4022,71.5,-103.9,1.3223,351
-1855,3,13,A,0.9402,37.9,-167.3,0.7566,352
-1855,9,6,T,1.0286,-29.2,85.1,-0.6822,353
-1854,3,2,A,0.9817,-13.9,158.6,-0.0113,354
-1854,8,27,A,0.9822,17.9,-70.6,0.0302,355
-1853,2,20,T,1.0282,-63.0,21.0,-0.744,356
-1853,8,16,A,0.9356,69.7,-111.7,0.784,357
-1852,1,11,P,0.6283,66.0,-88.2,1.2024,358
-1852,2,9,P,0.2304,-68.7,-76.4,-1.4111,359
-1852,7,5,P,0.3218,-65.1,112.5,-1.373,360
-1852,8,4,P,0.1091,67.9,35.6,1.5009,361
-1852,12,30,H,1.0059,9.2,53.2,0.5483,362
-1851,6,25,H2,1.0145,-10.4,-5.0,-0.5598,363
-1851,12,20,A,0.9511,-31.8,-77.5,-0.1566,364
-1850,6,14,T,1.068,33.7,133.8,0.216,365
-1850,12,9,A,0.9113,-72.0,-148.4,-0.8628,366
-1849,6,4,T,1.066,71.4,148.2,0.9488,367
-1849,10,29,P,0.1571,60.9,-107.9,1.47,368
-1849,11,28,P,0.0947,-62.2,148.2,-1.5121,369
-1848,4,24,H,1.0042,-43.8,178.6,-0.8605,370
-1848,10,17,H,1.0059,35.7,71.0,0.7184,371
-1847,4,13,A,0.9617,-2.3,53.7,-0.1011,372
-1847,10,7,T,1.0485,1.7,-170.8,0.0209,373
-1846,4,2,A,0.9428,34.0,16.8,0.6631,374
-1846,9,27,T,1.0333,-31.0,-68.9,-0.6615,375
-1845,2,21,P,0.3024,-61.9,-41.7,-1.3808,376
-1845,3,22,P,0.3009,60.7,-73.8,1.3838,377
-1845,8,18,P,0.2638,62.4,103.9,1.4057,378
-1845,9,16,P,0.2495,-61.0,55.8,-1.4111,379
-1844,2,10,T,1.0408,-52.9,33.0,-0.6022,380
-1844,8,6,A,0.9335,63.3,-35.0,0.7161,381
-1843,1,30,T,1.0598,-15.7,129.6,0.1064,382
-1843,7,26,A,0.9502,21.9,-66.1,-0.0216,383
-1842,1,20,T,1.0185,31.3,-110.9,0.8212,384
-1842,7,15,A,0.9941,-26.0,-152.4,-0.7668,385
-1842,12,11,P,0.3838,-68.0,-176.1,-1.3391,386
-1841,6,5,P,0.8834,68.7,-23.7,1.0723,387
-1841,7,4,P,0.1461,-66.0,17.6,-1.4564,388
-1841,11,30,A,0.9127,-61.4,-20.6,-0.6864,389
-1840,5,25,T,1.072,36.8,-130.7,0.3401,390
-1840,11,18,A,0.9422,-15.3,-12.2,0.0048,391
-1839,5,14,T,1.0246,-11.0,22.7,-0.4321,392
-1839,11,7,A,0.9917,30.5,-105.4,0.6895,393
-1838,4,4,Pe,0.0,71.6,23.0,1.5615,394
-1838,5,4,P,0.5269,-70.9,-43.1,-1.2547,395
-1838,9,28,P,0.3459,-71.4,122.1,-1.3514,396
-1838,10,27,P,0.4084,71.2,108.1,1.3189,397
-1837,3,24,A,0.9428,47.3,83.7,0.8244,398
-1837,9,18,T,1.0226,-34.4,-44.4,-0.705,399
-1836,3,12,A,0.988,-6.9,46.8,0.0456,400
-1836,9,6,A,0.9759,12.6,170.3,-0.0004,401
-1835,3,2,T,1.0353,-55.3,-99.4,-0.6959,402
-1835,8,26,A,0.9317,62.4,137.4,0.7422,403
-1834,1,21,P,0.5877,67.1,132.4,1.2239,404
-1834,2,19,P,0.3016,-69.6,148.2,-1.3735,405
-1834,7,17,P,0.2124,-66.1,-2.3,-1.436,406
-1834,8,15,P,0.1971,68.9,-83.8,1.4493,407
-1833,1,11,H,1.0052,10.7,-75.3,0.5652,408
-1833,7,6,T,1.0151,-14.7,-116.4,-0.6253,409
-1833,12,31,A,0.9506,-32.3,161.7,-0.1456,410
-1832,6,24,T,1.0685,31.5,22.9,0.1456,411
-1832,12,19,A,0.9126,-76.0,97.1,-0.8539,412
-1831,6,14,T,1.0667,74.3,64.4,0.8784,413
-1831,11,8,P,0.1612,61.3,116.5,1.4672,414
-1831,12,8,P,0.1053,-63.0,15.7,-1.505,415
-1830,5,5,A,0.9984,-50.0,79.3,-0.9428,416
-1830,10,29,H,1.0074,32.1,-63.4,0.7181,417
-1829,4,25,A,0.9607,-2.5,-44.3,-0.1855,418
-1829,10,18,T,1.0472,-2.6,55.4,0.0269,419
-1828,4,13,A,0.9464,33.1,-79.3,0.5808,420
-1828,10,7,T,1.029,-34.4,158.7,-0.6527,421
-1827,3,3,P,0.2193,-61.4,-164.1,-1.4261,422
-1827,4,2,P,0.4314,60.5,172.9,1.3094,423
-1827,8,28,P,0.1933,61.7,-19.9,1.4472,424
-1827,9,26,P,0.2727,-60.7,-77.2,-1.3988,425
-1826,2,21,T,1.0459,-51.3,-84.2,-0.6416,426
-1826,8,17,A,0.9289,62.6,-133.7,0.7672,427
-1825,2,10,T,1.0627,-15.2,5.3,0.0732,428
-1825,8,6,A,0.9491,23.4,-171.5,0.0361,429
-1824,1,31,T,1.0194,29.8,121.5,0.7981,430
-1824,7,25,A,0.9959,-21.1,94.4,-0.7049,431
-1824,12,21,P,0.3679,-66.9,49.9,-1.3486,432
-1823,6,15,P,0.7498,67.7,-148.4,1.1413,433
-1823,7,15,P,0.2659,-65.0,-108.1,-1.3935,434
-1823,12,10,A,0.914,-65.0,-136.2,-0.6918,435
-1822,6,5,T,1.0686,44.3,117.3,0.4148,436
-1822,11,29,A,0.9451,-18.6,-137.2,0.0036,437
-1821,5,26,T,1.0212,-3.3,-86.7,-0.3555,438
-1821,11,18,A,0.9945,27.2,120.9,0.6886,439
-1820,5,14,P,0.6667,-70.3,-155.6,-1.1748,440
-1820,10,8,P,0.3298,-71.6,-24.2,-1.3602,441
-1820,11,7,P,0.4108,70.7,-40.2,1.3177,442
-1819,4,3,A,0.9446,58.2,-28.1,0.899,443
-1819,9,28,T,1.0171,-39.5,-175.6,-0.7208,444
-1818,3,24,Am,0.9939,0.8,-63.6,0.1098,445
-1818,9,17,A,0.97,7.3,48.8,-0.0232,446
